Article Number,Section,Description,
3,Necessity for Driving License,No person can drive a motor vehicle without holding a valid driving license.,
4,Age Limit for Driving,Defines minimum age requirements for different vehicle categories.,
5,Responsibility of Owners for Driver’s Act,The vehicle owner is responsible for ensuring that only licensed individuals drive their vehicle.,
6,Restrictions on Driving by License Holder of Certain Categories,Restrictions on license holders from driving different categories of vehicles.,
7,Restrictions on the Grant of Learner’s License,Specifies conditions under which a learner’s license can be issued.,
8,Form and Contents of Learner’s License,Specifies the form and contents of a learner’s license.,
9,Grant of Driving License,Details the process for issuing a permanent driving license.,
10,Form and Contents of Driving License,Specifies the format and required details of a driving license.,
11,Additions to Driving License,Procedure for adding additional categories of vehicles to a driving license.,
12,Licensing and Regulation of Driving Schools,Rules for the establishment and operation of driving schools.,
13,Recognition of Driving License Issued in Other Countries,Recognition of driving licenses issued by other countries under certain conditions.,
14,Currency of Driving Licenses,Specifies the validity period of driving licenses based on the vehicle category and the age of the holder.,
15,Renewal of Driving License,Specifies the procedure and requirements for renewing a driving license.,
16,Revocation of Driving License on Grounds of Disease or Disability,Specifies conditions under which a driving license can be revoked due to medical reasons.,
17,Revocation of Driving License on Conviction,Specifies the conditions under which a driving license can be revoked following a conviction.,
18,Driving License to Drive Vehicles Belonging to the Central Government,Special rules for obtaining licenses to drive vehicles owned by the central government.,
19,Power of Licensing Authority to Disqualify or Revoke Driving License,Licensing authorities have the power to disqualify drivers or revoke their licenses under certain conditions.,
20,Power of Court to Disqualify,Courts have the authority to disqualify individuals from driving upon conviction of certain offenses.,
21,Suspension of Driving License in Certain Cases,"Automatic suspension of driving license in certain offenses, such as drunk driving.",
22,Suspension or Cancellation of Driving License on Conviction,Procedure for suspending or canceling driving licenses upon conviction of serious traffic offenses.,
23,Effect of Disqualification Order,Details the legal effects of a disqualification order issued by the court or licensing authority.,
24,Endorsement of Disqualification,Procedure for recording disqualification on the driver’s license.,
25,Transfer of Endorsed License,Procedure for transferring licenses that have been endorsed due to traffic violations.,
26,Issue of New License after Disqualification,Procedure for obtaining a new license after the disqualification period has expired.,
27,Power of Central Government to Make Rules,Allows the central government to make rules for implementing the provisions of the Act.,
28,Power of State Government to Make Rules,Allows state governments to make rules regarding vehicle licensing and regulation within their jurisdiction.,
29,Application for the Issue of Learner’s License,Procedure for applying for a learner’s license.,
30,Medical Certificate,Requirements for submitting a medical certificate for obtaining a driving license for certain vehicle categories.,
31,Change of Address,Procedure for notifying the licensing authority of a change of address for license holders.,
32,Change of Name,Procedure for notifying the licensing authority of a change of name.,
33,Duty to Produce License on Demand,Requires license holders to produce their license upon the request of a police officer or other authorized personnel.,
34,Revocation of Learner’s License,Specifies conditions under which a learner’s license can be revoked.,
35,Power of Court to Disqualify,Courts have the power to disqualify drivers convicted of certain offenses.,
36,Appeal Against the Disqualification,Provides a right of appeal for drivers who are disqualified from driving.,
39,Necessity for Registration,No person shall drive a vehicle unless it is registered and has a valid registration certificate.,
40,Registration of Vehicles Belonging to the Central Government,Special rules for registering vehicles owned by the central government.,
41,Registration, How to Be Made,Specifies the procedure for registering a vehicle.
42,Special Considerations for Transport Vehicles,Transport vehicles must meet additional conditions for registration.,
43,Temporary Registration,Allows for temporary registration of vehicles when transferring from one state to another.,
44,Production of Vehicle for Inspection,The vehicle must be presented for inspection as part of the registration process.,
45,Time Limit for Registration,Specifies the time limit for registering a vehicle after it has been acquired.,
46,Effectiveness of Registration,Registration certificates issued in one state are valid throughout India.,
47,Assignment of New Registration Mark on Removal to Another State,Procedure for assigning a new registration mark when a vehicle is permanently moved to another state.,
48,No Objection Certificate,Requirements for obtaining a no-objection certificate when transferring a vehicle from one state to another.,
49,Change of Residence or Place of Business,Procedure for notifying the registration authority of a change in address or place of business.,
50,Transfer of Ownership,Procedure for transferring vehicle ownership in case of sale or transfer.,
51,Special Provisions Regarding Motor Vehicles Subject to Hire Purchase,Special rules for vehicles that are subject to a hire-purchase agreement.,
52,Alteration in Motor Vehicle,Specifies that alterations made to vehicles must comply with the prescribed standards.,
53,Suspension of Registration,The registration authority can suspend the registration of a vehicle if it is deemed unsafe for use.,
54,Cancellation of Registration,The registration authority can cancel the registration of a vehicle if it has been permanently removed from service.,
55,Transfer of Ownership in Case of Death,Procedure for transferring the ownership of a vehicle in the event of the owner’s death.,
56,Certificate of Fitness of Transport Vehicles,Transport vehicles must carry a valid fitness certificate to be driven on public roads.,
57,Validity of Fitness Certificate,Specifies the validity period of fitness certificates for different types of vehicles.,
58,Definition of Transport Vehicles,Defines transport vehicles and outlines additional rules for their operation.,
59,Power to Fix the Age of Motor Vehicles,The central government can specify the maximum age for the use of certain categories of vehicles.,
60,Refusal or Renewal of Registration,Conditions under which the registration of a vehicle can be refused or not renewed.,
61,Special Rules for Diplomatic Officers,Special provisions for the registration of vehicles belonging to foreign diplomatic personnel.,
62,Temporary Registration,Provisions for issuing temporary registration for vehicles being transferred between states.,
63,Transfer of Vehicles to Another State,Conditions under which a vehicle can be transferred from one state to another.,
64,Power of Central Government to Make Rules,Grants power to the central government to make rules for the smooth implementation of the Motor Vehicles Act.,
100,Visibility of Driver,Every motor vehicle should be constructed in such a way that the driver has an unobstructed view of the road.,
101,Emission of Visible Pollutants,Specifies that vehicles should not emit visible smoke or pollutants beyond prescribed levels.,
102,Silencers,All vehicles must be equipped with effective silencers to reduce noise pollution.,
103,Parking Lights,Vehicles parked on public roads at night must display appropriate parking lights.,
104,Safety Glass,Specifies that motor vehicles must use safety glass to reduce injury in case of an accident.,
105,Brakes,Vehicles must have a braking system that meets prescribed safety standards.,
106,Minimum Requirements for a Motor Vehicle,Specifies the minimum technical and safety requirements for all motor vehicles.,
107,Condition for a Commercial Vehicle,Additional requirements for commercial vehicles to ensure passenger and cargo safety.,
108,Permissible Load,Defines the maximum load capacity for different types of vehicles.,
109,Weight of Vehicles,Specifies the maximum weight limits for vehicles based on their type.,
110,Registration of Transport Vehicles,"Special rules for the registration of transport vehicles, including necessary documents.",
111,Renewal of Registration,Procedures and requirements for renewing vehicle registrations.,
112,Fitness Certificate,Specifies requirements for obtaining a fitness certificate for vehicles.,
113,Trailer and Sidecar,Rules regarding the operation of trailers and sidecars attached to motor vehicles.,
114,Power of Authority to Arrest,Authorizes law enforcement to arrest without warrant in certain offenses related to motor vehicle regulations.,
115,Penalties for Violations,Lists penalties for various offenses under the Motor Vehicles Act.,
101,Section 62B: Vehicle Seizure for Unpaid Penalties,Description: Provides the authorities with the power to seize vehicles for unpaid traffic violation fines and penalties.,
102,Section 63: Control of Vehicular Emissions,Description: Establishes emission standards for vehicles and empowers the authorities to inspect and ensure compliance.,
103,Rule 118: Speed Governors in Transport Vehicles,Description: Mandates the installation of speed governors in commercial and transport vehicles to limit their speed within prescribed limits.,
104,Rule 119: Rear and Side Reflectors for Heavy Vehicles,Description: Specifies that heavy and commercial vehicles must have rear and side reflectors for better visibility at night.,
105,Section 64: Penalties for Driving Without a License,"Description: Provides for penalties, including fines and imprisonment, for driving a vehicle without a valid driving license.",
106,Section 65: Illegal Use of Vehicle Without Owner's Consent,Description: Imposes penalties for using or driving a vehicle without the consent of the registered owner.,
107,Rule 120: Use of Sirens by Emergency Vehicles,"Description: Specifies the use of sirens and flashing lights by emergency vehicles, such as ambulances and police cars, for priority movement in traffic.",
108,Section 66: Overloading of Passenger Vehicles,Description: Prohibits overloading of passenger vehicles and prescribes penalties for violation.,
109,Section 67: Responsibilities of Vehicle Owners for Driver Violations,Description: Establishes the accountability of vehicle owners for violations committed by drivers operating their vehicles.,
110,Rule 121: Vehicle Registration Renewal Process,Description: Outlines the procedure for renewing vehicle registrations after the expiry of the initial registration period.,
111,Section 68: Operating Vehicles Without Registration,Description: Prohibits the operation of vehicles without proper registration and prescribes penalties for offenders.,
112,Section 69: Violation of Permit Conditions by Transport Operators,Description: Prescribes penalties for transport operators violating the conditions of their permits.,
113,Rule 122: School Bus Safety Requirements,"Description: Provides specific safety guidelines for school buses, including emergency exits, speed restrictions, and the presence of a conductor.",
114,Section 70: Driving Under the Influence of Drugs,Description: Imposes penalties for driving under the influence of drugs that impair the ability to drive safely.,
115,Section 71: Use of Mobile Phones While Driving,Description: Prohibits the use of mobile phones while driving and prescribes penalties for violations.,
116,Rule 123: Provision of First Aid Kits in Public Transport Vehicles,Description: Mandates that public transport vehicles carry a fully stocked first aid kit to handle emergencies.,
117,Section 72: Violation of Road Safety Rules,"Description: Imposes penalties for drivers violating road safety rules, including reckless driving, jumping traffic signals, and speeding.",
118,Rule 124: Display of Vehicle Identification Numbers (VIN),Description: Requires vehicles to display their Vehicle Identification Numbers (VIN) in accordance with specified standards.,
119,Section 73: Illegal Transport of Hazardous Goods,"Description: Prescribes penalties for the illegal or unsafe transport of hazardous goods, including chemicals and explosives.",
120,Rule 125: Safety Equipment for Two-Wheelers,"Description: Specifies that two-wheeler riders must wear helmets, and the vehicle must be equipped with proper lighting and reflective gear.",
121,Section 74: Exceeding Speed Limits,Description: Imposes penalties for exceeding prescribed speed limits on different types of roads and zones.,
122,Rule 126: Anti-Lock Braking System (ABS) for Commercial Vehicles,Description: Mandates the installation of ABS in commercial and heavy vehicles to prevent skidding during braking.,
123,Section 75: Obstructing Traffic,"Description: Penalizes individuals who obstruct the flow of traffic, including illegal parking or road blockage.",
