Article Number,Section,Section Name,Description
261,The Child Marriage Restraint Act 1929,Penalties for child marriage,"Specifies penalties for individuals involved in arranging or participating in a child marriage."
262,The Child Marriage Restraint Act 1929,Voidability of child marriage,"Allows for a child marriage to be declared void at the option of the minor parties."
263,The Hindu Minority and Guardianship Act 1956,Guardian not to be appointed for minors' undivided interest in joint family property,"Prevents the appointment of a guardian for a minor's undivided interest in joint family property."
264,The Hindu Minority and Guardianship Act 1956,Guardian not to transfer property without permission,"Prohibits guardians from transferring or mortgaging the minor's property without court approval."
265,Muslim Personal Law (Shariat) Application Act 1937,Polygamy,"Allows Muslim men to have up to four wives, subject to certain conditions."
266,Muslim Personal Law (Shariat) Application Act 1937,Maintenance of wife during and after marriage,"Describes the husband's obligation to provide maintenance to his wife during marriage and after divorce."
267,Muslim Women (Protection of Rights on Divorce) Act 1986,Right to Mahr (dower),"Specifies the Muslim woman's right to claim her Mahr or dower upon divorce."
268,Muslim Women (Protection of Rights on Divorce) Act 1986,Right to fair provision and maintenance,"Mandates that a Muslim woman should be provided fair maintenance by her husband after divorce."
269,Special Marriage Act 1954,Property rights of spouses,"Outlines the property rights of spouses married under the Special Marriage Act."
270,Special Marriage Act 1954,Alimony and maintenance,"Defines the court's power to grant alimony and maintenance to a spouse in case of separation or divorce."
271,Indian Christian Marriage Act 1872,Certification of marriage,"Details the procedure for registering and certifying a Christian marriage."
272,Indian Divorce Act 1869,Nullity of marriage,"Lists the conditions under which a Christian marriage may be declared null and void."
273,Parsi Marriage and Divorce Act 1936,Nullity of Parsi marriage,"Specifies grounds for nullity of marriage under the Parsi Marriage and Divorce Act."
274,Parsi Marriage and Divorce Act 1936,Alimony and maintenance for Parsis,"Provides for alimony and maintenance in the case of divorce for Parsis."
275,Juvenile Justice (Care and Protection of Children) Act 2015,Foster care,"Provides guidelines for placing children in foster care when their parents or guardians are unable to care for them."
276,Juvenile Justice (Care and Protection of Children) Act 2015,Adoption regulations,"Sets out the legal process and eligibility criteria for adopting children under Indian law."
277,Guardians and Wards Act 1890,Duties of a guardian,"Outlines the duties and responsibilities of a guardian towards the minor's welfare and property."
278,The Dowry Prohibition Act 1961,Prohibition of dowry demand,"Prohibits the demand for dowry during or after marriage and outlines penalties for violations."
279,The Dowry Prohibition Act 1961,Penalties for dowry death,"Specifies stricter penalties for dowry-related deaths, including imprisonment."
280,The Protection of Women from Domestic Violence Act 2005,Right to reside in shared household,"Ensures that a woman has the right to reside in her shared household, irrespective of ownership."
281,The Protection of Women from Domestic Violence Act 2005,Compensation for domestic violence,"Allows courts to grant compensation to women who have suffered domestic violence, including medical expenses and emotional distress."
282,The Hindu Marriage Act 1955,Live-in relationships,"Addresses legal rights related to live-in relationships under family law jurisprudence."
283,The Family Courts Act 1984,Role of counselors in family disputes,"Specifies the role of counselors in resolving family disputes before they escalate to legal proceedings."
284,The Guardianship of Infants Act 1890,Right of mother to custody,"Gives the mother the right to the custody of children up to a certain age, subject to welfare considerations."
285,Hindu Succession (Amendment) Act 2005,Daughters' rights in property,"Amends the Hindu Succession Act to give daughters equal rights in their ancestral property."
286,The Hindu Minority and Guardianship Act 1956,Minor's welfare as the paramount consideration,"States that the welfare of the minor is the primary concern in any guardianship or custody dispute."
287,Muslim Personal Law (Shariat) Application Act 1937,Right of widow to maintenance,"Ensures that a Muslim widow has the right to claim maintenance from her deceased husband's estate."
288,The Christian Marriage Act 1872,Bigamy among Christians,"Prohibits bigamy among Christians and prescribes penalties for those involved in a second marriage while the first is still valid."
289,Special Marriage Act 1954,Foreign marriages,"Regulates the legality of marriages between Indian citizens and foreign nationals under the Special Marriage Act."
290,The Child Marriage Restraint Act 1929,Marriageable age,"Specifies the minimum legal age for marriage, which is 21 for males and 18 for females."
291,The Family Courts Act 1984,Expeditious resolution of family disputes,"Mandates the fast-tracking of family-related cases to ensure speedy justice."
292,Juvenile Justice (Care and Protection of Children) Act 2015,Protection of children in need of care,"Provides special protection for children who are in need of care and protection, including those without a family."
293,Hindu Marriage Act 1955,Restitution of conjugal rights,"Provides the legal remedy for a spouse who has been abandoned by the other without reasonable cause."
294,Parsi Marriage and Divorce Act 1936,Parsi community's unique matrimonial practices,"Regulates marriage and divorce among Parsis, keeping in mind their religious and cultural practices."
295,Muslim Personal Law (Shariat) Application Act 1937,Polygamy restrictions,"Outlines specific circumstances under which a Muslim man can take more than one wife."
296,The Protection of Women from Domestic Violence Act 2005,Legal aid to victims,"Ensures that victims of domestic violence have access to legal aid and representation in court."
297,The Dowry Prohibition Act 1961,Dowry harassment,"Defines dowry harassment and prescribes penalties for those involved in harassing the bride or her family for dowry."
298,Hindu Succession Act 1956,Devolution of property,"Specifies the rules for the devolution of a Hindu's property upon their death."
299,Muslim Women (Protection of Rights on Divorce) Act 1986,Obligation to provide maintenance,"Imposes an obligation on the former husband to provide fair and reasonable maintenance to a divorced Muslim woman."
300,The Guardianship and Wards Act 1890,Appointment of guardian for property,"Allows for the appointment of a guardian to manage the property of a minor."
301,Indian Penal Code 1860,Section 498A,"Criminalizes cruelty to women by their husband or his relatives, including physical and mental harassment."
302,The Hindu Marriage Act 1955,Judicial separation,"Outlines the grounds and procedure for judicial separation between Hindu spouses."
303,The Hindu Marriage Act 1955,Void and voidable marriages,"Specifies the conditions under which a Hindu marriage can be declared void or voidable."
304,The Protection of Women from Sexual Harassment at Workplace Act 2013,Sexual harassment at workplace,"Defines sexual harassment at the workplace and mandates preventive and protective measures for women."
305,The Muslim Women (Protection of Rights on Marriage) Act 2019,Triple Talaq,"Criminalizes the practice of instant Triple Talaq (Talaq-e-biddat) among Muslims."
306,The Hindu Succession Act 1956,Succession rights of children,"Outlines the inheritance rights of children under Hindu law."
307,The Hindu Marriage Act 1955,Conditions for Hindu marriage,"Specifies the legal requirements for a valid Hindu marriage."
308,The Prohibition of Child Marriage Act 2006,Child marriage prohibition,"Strengthens the legal framework to prevent child marriages and enhances penalties."
309,The Hindu Adoptions and Maintenance Act 1956,Adoption procedures,"Outlines the legal process for adopting a child under Hindu law."
310,The Domestic Violence Act 2005,Protection orders,"Allows victims of domestic violence to obtain protection orders from the court."
311,The Hindu Succession Act 1956,Inheritance by women,"Provides women with the legal right to inherit property equally under Hindu law."
312,The Family Courts Act 1984,Mediation in family disputes,"Encourages mediation as a means to resolve family disputes without litigation."
313,The Dowry Prohibition Act 1961,Reporting of dowry offenses,"Requires the reporting of dowry demands and offenses to the authorities."
314,The Juvenile Justice Act 2015,Rehabilitation of children in conflict with law,"Outlines rehabilitation measures for juveniles who have been involved in criminal activities."
315,The Muslim Personal Law (Shariat) Application Act 1937,Inheritance rights,"Describes the inheritance rights of Muslims based on Islamic principles."
316,The Christian Marriage Act 1872,Notice of marriage,"Details the procedure for giving notice of an intended Christian marriage."
317,The Special Marriage Act 1954,Divorce by mutual consent,"Allows for divorce by mutual consent between spouses married under the Special Marriage Act."
318,The Child Marriage Restraint Act 1929,Penalties for solemnizing child marriages,"Prescribes penalties for anyone who performs or solemnizes a child marriage."
319,The Guardians and Wards Act 1890,Guardian's duties toward minor's education,"Requires the guardian to ensure the minor receives proper education."
320,The Hindu Marriage Act 1955,Marriage registration,"Mandates the registration of Hindu marriages with the appropriate authorities."
